id,value,category,timestamp
0,value0,category0,2023-01-01
1,value1,category1,2023-01-02
2,value2,category2,2023-01-03
3,value3,category3,2023-01-04
4,value4,category4,2023-01-05
5,value5,category0,2023-01-06
6,value6,category1,2023-01-07
7,value7,category2,2023-01-08
8,value8,category3,2023-01-09
9,value9,category4,2023-01-10
10,value10,category0,2023-01-11
11,value11,category1,2023-01-12
12,value12,category2,2023-01-13
13,value13,category3,2023-01-14
14,value14,category4,2023-01-15
15,value15,category0,2023-01-16
16,value16,category1,2023-01-17
17,value17,category2,2023-01-18
18,value18,category3,2023-01-19
19,value19,category4,2023-01-20
20,value20,category0,2023-01-21
21,value21,category1,2023-01-22
22,value22,category2,2023-01-23
23,value23,category3,2023-01-24
24,value24,category4,2023-01-25
25,value25,category0,2023-01-26
26,value26,category1,2023-01-27
27,value27,category2,2023-01-28
28,value28,category3,2023-01-29
29,value29,category4,2023-01-30
30,value30,category0,2023-01-01
31,value31,category1,2023-01-02
32,value32,category2,2023-01-03
33,value33,category3,2023-01-04
34,value34,category4,2023-01-05
35,value35,category0,2023-01-06
36,value36,category1,2023-01-07
37,value37,category2,2023-01-08
38,value38,category3,2023-01-09
39,value39,category4,2023-01-10
40,value40,category0,2023-01-11
41,value41,category1,2023-01-12
42,value42,category2,2023-01-13
43,value43,category3,2023-01-14
44,value44,category4,2023-01-15
45,value45,category0,2023-01-16
46,value46,category1,2023-01-17
47,value47,category2,2023-01-18
48,value48,category3,2023-01-19
49,value49,category4,2023-01-20
50,value50,category0,2023-01-21
51,value51,category1,2023-01-22
52,value52,category2,2023-01-23
53,value53,category3,2023-01-24
54,value54,category4,2023-01-25
55,value55,category0,2023-01-26
56,value56,category1,2023-01-27
57,value57,category2,2023-01-28
58,value58,category3,2023-01-29
59,value59,category4,2023-01-30
60,value60,category0,2023-01-01
61,value61,category1,2023-01-02
62,value62,category2,2023-01-03
63,value63,category3,2023-01-04
64,value64,category4,2023-01-05
65,value65,category0,2023-01-06
66,value66,category1,2023-01-07
67,value67,category2,2023-01-08
68,value68,category3,2023-01-09
69,value69,category4,2023-01-10
70,value70,category0,2023-01-11
71,value71,category1,2023-01-12
72,value72,category2,2023-01-13
73,value73,category3,2023-01-14
74,value74,category4,2023-01-15
75,value75,category0,2023-01-16
76,value76,category1,2023-01-17
77,value77,category2,2023-01-18
78,value78,category3,2023-01-19
79,value79,category4,2023-01-20
80,value80,category0,2023-01-21
81,value81,category1,2023-01-22
82,value82,category2,2023-01-23
83,value83,category3,2023-01-24
84,value84,category4,2023-01-25
85,value85,category0,2023-01-26
86,value86,category1,2023-01-27
87,value87,category2,2023-01-28
88,value88,category3,2023-01-29
89,value89,category4,2023-01-30
90,value90,category0,2023-01-01
91,value91,category1,2023-01-02
92,value92,category2,2023-01-03
93,value93,category3,2023-01-04
94,value94,category4,2023-01-05
95,value95,category0,2023-01-06
96,value96,category1,2023-01-07
97,value97,category2,2023-01-08
98,value98,category3,2023-01-09
99,value99,category4,2023-01-10
100,value100,category0,2023-01-11
101,value101,category1,2023-01-12
102,value102,category2,2023-01-13
103,value103,category3,2023-01-14
104,value104,category4,2023-01-15
105,value105,category0,2023-01-16
106,value106,category1,2023-01-17
107,value107,category2,2023-01-18
108,value108,category3,2023-01-19
109,value109,category4,2023-01-20
110,value110,category0,2023-01-21
111,value111,category1,2023-01-22
112,value112,category2,2023-01-23
113,value113,category3,2023-01-24
114,value114,category4,2023-01-25
115,value115,category0,2023-01-26
116,value116,category1,2023-01-27
117,value117,category2,2023-01-28
118,value118,category3,2023-01-29
119,value119,category4,2023-01-30
120,value120,category0,2023-01-01
121,value121,category1,2023-01-02
122,value122,category2,2023-01-03
123,value123,category3,2023-01-04
124,value124,category4,2023-01-05
125,value125,category0,2023-01-06
126,value126,category1,2023-01-07
127,value127,category2,2023-01-08
128,value128,category3,2023-01-09
129,value129,category4,2023-01-10
130,value130,category0,2023-01-11
131,value131,category1,2023-01-12
132,value132,category2,2023-01-13
133,value133,category3,2023-01-14
134,value134,category4,2023-01-15
135,value135,category0,2023-01-16
136,value136,category1,2023-01-17
137,value137,category2,2023-01-18
138,value138,category3,2023-01-19
139,value139,category4,2023-01-20
140,value140,category0,2023-01-21
141,value141,category1,2023-01-22
142,value142,category2,2023-01-23
143,value143,category3,2023-01-24
